lauf#	pi_Wert
10000	3.1512
20000	3.1498
30000	3.15
40000	3.1526
50000	3.15
60000	3.1524
70000	3.1477142857142857
80000	3.14675
90000	3.147422222222222
100000	3.14696
110000	3.1469454545454547
120000	3.1469666666666667
130000	3.146153846153846
140000	3.145542857142857
150000	3.1466933333333333
160000	3.1478
170000	3.1478823529411764
180000	3.1488444444444443
190000	3.147515789473684
200000	3.14778
210000	3.147409523809524
220000	3.1458
230000	3.146330434782609
240000	3.1460333333333335
250000	3.145536
260000	3.1456153846153847
270000	3.1463259259259257
280000	3.1459714285714284
290000	3.1454896551724136
300000	3.1458133333333334
310000	3.1451354838709675
320000	3.1447625
330000	3.1454303030303032
340000	3.1456235294117647
350000	3.1463885714285715
360000	3.1463111111111113
370000	3.146735135135135
380000	3.146926315789474
390000	3.147476923076923
400000	3.14775
410000	3.147141463414634
420000	3.147304761904762
430000	3.1475255813953487
440000	3.147727272727273
450000	3.1471022222222222
460000	3.1467391304347827
470000	3.146672340425532
480000	3.1464583333333334
490000	3.146538775510204
500000	3.146752
510000	3.146894117647059
520000	3.146869230769231
530000	3.146452830188679
540000	3.1466148148148148
550000	3.1463854545454546
560000	3.146357142857143
570000	3.1464070175438597
580000	3.1458620689655175
590000	3.1456271186440676
600000	3.1456933333333335
610000	3.1456196721311476
620000	3.145774193548387
630000	3.145663492063492
640000	3.1454125
650000	3.14496
660000	3.144763636363636
670000	3.1449492537313435
680000	3.1444411764705884
690000	3.1444115942028987
700000	3.1439085714285713
710000	3.1441521126760565
720000	3.1441555555555554
730000	3.14387397260274
740000	3.1441405405405405
750000	3.1439893333333333
760000	3.143657894736842
770000	3.144005194805195
780000	3.143928205128205
790000	3.1441924050632912
800000	3.14413
810000	3.1441283950617285
820000	3.1439853658536587
830000	3.144033734939759
840000	3.1439190476190477
850000	3.143943529411765
860000	3.1437488372093023
870000	3.1434942528735634
880000	3.143263636363636
890000	3.1432
900000	3.1429066666666667
910000	3.1427912087912087
920000	3.1428
930000	3.14272688172043
940000	3.1427787234042555
950000	3.1431073684210524
960000	3.142975
970000	3.142841237113402
980000	3.1428448979591836
990000	3.1428121212121214
1000000	3.1428
1010000	3.1426138613861387
1020000	3.14261568627451
1030000	3.1423300970873784
1040000	3.1421884615384617
1050000	3.1421980952380952
1060000	3.142045283018868
1070000	3.1418280373831777
1080000	3.141848148148148
1090000	3.142062385321101
1100000	3.1421636363636365
1110000	3.142363963963964
1120000	3.1423321428571427
1130000	3.1425451327433627
1140000	3.142533333333333
1150000	3.14248
1160000	3.142613793103448
1170000	3.1426905982905984
1180000	3.1427491525423727
1190000	3.1425882352941175
1200000	3.1427666666666667
1210000	3.1427669421487603
1220000	3.1427967213114756
1230000	3.1427121951219514
1240000	3.142651612903226
1250000	3.142624
1260000	3.142777777777778
1270000	3.1427622047244093
1280000	3.142646875
1290000	3.1425302325581397
1300000	3.1425784615384615
1310000	3.1426534351145037
1320000	3.142418181818182
1330000	3.1423308270676693
1340000	3.1422567164179105
1350000	3.1423111111111113
1360000	3.142329411764706
1370000	3.1422890510948904
1380000	3.142342028985507
1390000	3.142388489208633
1400000	3.1425457142857143
1410000	3.142558865248227
1420000	3.142619718309859
1430000	3.142537062937063
1440000	3.142613888888889
1450000	3.1426427586206898
1460000	3.14261095890411
1470000	3.142448979591837
1480000	3.142410810810811
1490000	3.1424187919463087
1500000	3.1427306666666666
1510000	3.1425456953642383
1520000	3.1425894736842106
1530000	3.1424627450980394
1540000	3.142587012987013
1550000	3.142766451612903
1560000	3.1425846153846155
1570000	3.142652229299363
1580000	3.142584810126582
1590000	3.142520754716981
1600000	3.142455
1610000	3.1424596273291927
1620000	3.1425925925925924
1630000	3.1426674846625766
1640000	3.142770731707317
1650000	3.142930909090909
1660000	3.1430987951807228
1670000	3.1430874251497007
1680000	3.143097619047619
1690000	3.1429136094674557
1700000	3.1430870588235296
1710000	3.1430830409356725
1720000	3.143009302325581
1730000	3.142987283236994
1740000	3.1429425287356323
1750000	3.142896
1760000	3.142822727272727
1770000	3.142772881355932
1780000	3.142856179775281
1790000	3.14277094972067
1800000	3.142848888888889
1810000	3.1430099447513813
1820000	3.1428395604395605
1830000	3.142697267759563
1840000	3.1425478260869566
1850000	3.1426443243243245
1860000	3.142621505376344
1870000	3.1426673796791444
1880000	3.1427297872340425
1890000	3.1427407407407406
1900000	3.142524210526316
1910000	3.1426010471204187
1920000	3.1426958333333332
1930000	3.142621761658031
1940000	3.1425711340206184
1950000	3.142590769230769
1960000	3.142520408163265
1970000	3.142497461928934
1980000	3.142492929292929
1990000	3.1426110552763817
2000000	3.142654
2010000	3.142744278606965
2020000	3.1427207920792077
2030000	3.1426285714285713
2040000	3.142735294117647
2050000	3.1426887804878048
2060000	3.1426155339805826
2070000	3.142682125603865
2080000	3.142544230769231
2090000	3.1425531100478468
2100000	3.142567619047619
2110000	3.1425251184834124
2120000	3.1424358490566036
2130000	3.142313615023474
2140000	3.1423009345794393
2150000	3.1423888372093023
2160000	3.1423259259259257
2170000	3.1423115207373273
2180000	3.1424018348623854
2190000	3.142504109589041
2200000	3.1425436363636363
2210000	3.1424760180995475
2220000	3.142500900900901
2230000	3.1425040358744396
2240000	3.142607142857143
2250000	3.142593777777778
2260000	3.1426017699115043
2270000	3.142574449339207
2280000	3.1426157894736844
2290000	3.1427633187772925
2300000	3.142728695652174
2310000	3.142661471861472
2320000	3.142665517241379
2330000	3.142666094420601
2340000	3.1426649572649574
2350000	3.142588936170213
2360000	3.1427338983050848
2370000	3.1427915611814345
2380000	3.1428420168067226
2390000	3.1428468619246863
2400000	3.142821666666667
2410000	3.142721991701245
2420000	3.1426462809917357
2430000	3.1425152263374487
2440000	3.1425967213114756
2450000	3.1427167346938774
2460000	3.142577235772358
2470000	3.142518218623482
2480000	3.14248064516129
2490000	3.1424305220883535
2500000	3.1425968
2510000	3.1424685258964145
2520000	3.142525396825397
2530000	3.1425438735177864
2540000	3.142576377952756
2550000	3.1425537254901963
2560000	3.1426609375
2570000	3.142621011673152
2580000	3.1426837209302327
2590000	3.14276138996139
2600000	3.1427630769230768
2610000	3.1427724137931032
2620000	3.1427847328244276
2630000	3.142739163498099
2640000	3.1426984848484847
2650000	3.1426083018867925
2660000	3.1425413533834585
2670000	3.1425827715355807
2680000	3.1426
2690000	3.1426334572490706
2700000	3.142482962962963
2710000	3.142521033210332
2720000	3.1425705882352943
2730000	3.142561172161172
2740000	3.1426525547445254
2750000	3.142573090909091
2760000	3.142544927536232
2770000	3.1425068592057763
2780000	3.1426230215827338
2790000	3.1425175627240143
2800000	3.14255
2810000	3.142576512455516
2820000	3.142575886524823
2830000	3.1425173144876326
2840000	3.1425408450704224
2850000	3.1424828070175437
2860000	3.1424755244755245
2870000	3.142514285714286
2880000	3.142401388888889
2890000	3.142395847750865
2900000	3.142409655172414
2910000	3.1424123711340206
2920000	3.142453424657534
2930000	3.1424409556313995
2940000	3.1424462585034014
2950000	3.1424013559322033
2960000	3.142358108108108
2970000	3.1423771043771045
2980000	3.1423906040268457
2990000	3.1424682274247493
3000000	3.1425693333333333
3010000	3.1425461794019935
3020000	3.142603973509934
3030000	3.1425861386138614
3040000	3.142559210526316
3050000	3.14263868852459
3060000	3.1426928104575165
3070000	3.142697068403909
3080000	3.1427194805194807
3090000	3.142714563106796
3100000	3.142607741935484
3110000	3.1425093247588425
3120000	3.1424384615384615
3130000	3.142402555910543
3140000	3.142299363057325
3150000	3.1422895238095236
3160000	3.142240506329114
3170000	3.1422599369085176
3180000	3.1422188679245284
3190000	3.142194357366771
3200000	3.14225875
3210000	3.1422442367601247
3220000	3.142255900621118
3230000	3.142346749226006
3240000	3.1423185185185187
3250000	3.1423150769230768
3260000	3.1423779141104293
3270000	3.1423155963302754
3280000	3.1422939024390244
3290000	3.1423063829787234
3300000	3.1423454545454543
3310000	3.142346827794562
3320000	3.142342168674699
3330000	3.1423375375375375
3340000	3.1422934131736526
3350000	3.1422794029850745
3360000	3.1422785714285713
3370000	3.1422433234421363
3380000	3.1422887573964497
3390000	3.1423244837758113
3400000	3.1423270588235295
3410000	3.142224046920821
3420000	3.142281871345029
3430000	3.1422833819241984
3440000	3.1423232558139533
3450000	3.142362898550725
3460000	3.1423757225433526
3470000	3.1423815561959656
3480000	3.1423655172413794
3490000	3.1422979942693408
3500000	3.142273142857143
3510000	3.1422267806267805
3520000	3.142165909090909
3530000	3.142112181303116
3540000	3.1421446327683618
3550000	3.1420901408450703
3560000	3.1421370786516856
3570000	3.1421422969187676
3580000	3.1421240223463687
3590000	3.142051253481894
3600000	3.14198
3610000	3.1418958448753465
3620000	3.141981215469613
3630000	3.141907438016529
3640000	3.141873626373626
3650000	3.141918904109589
3660000	3.141991256830601
3670000	3.14196621253406
3680000	3.142
3690000	3.1420032520325205
3700000	3.1419772972972972
3710000	3.1419245283018866
3720000	3.1418430107526882
3730000	3.1418445040214475
3740000	3.141822459893048
3750000	3.1418208
3760000	3.1418553191489362
3770000	3.141793103448276
3780000	3.1417777777777776
3790000	3.1417667546174144
3800000	3.1417726315789474
3810000	3.1418120734908137
3820000	3.141870157068063
3830000	3.1418391644908614
3840000	3.1418760416666665
3850000	3.141838961038961
3860000	3.141876683937824
